,itself-1,,inout-1,max-1,oppdir-1,samedir-1,,,lag-1,,inout-1,max-1,oppdir-1,samedir-1
"""30/8/2""",0.18,,0.10,-0.07,0.18,-0.03,,,,,,,,
"""16/6/2""",0.52,,0.52,0.48,0.52,0.51,,,,,,,,
"""16/6/1""",0.51,,0.52,0.48,0.51,0.53,,,,,,,,
"""9/10/1""",0.27,,0.32,0.64,0.27,0.38,,,,,,,,
"""22/4/1""",0.15,,0.13,-0.07,0.15,0.11,,,,,,,,
"""22/4/2""",0.14,,0.11,-0.02,0.14,0.07,,,,,,,,
"""9/7/1""",0.95,,0.95,0.95,0.95,0.95,,,,,,,,
"""22/5/1""",0.07,,0.06,0.00,0.07,0.05,,,,,,,,
"""16/5/1""",0.54,,0.55,0.49,0.54,0.56,,,,,,,,
"""16/5/2""",0.47,,0.47,0.47,0.47,0.47,,,,,,,,
"""22/5/2""",0.06,,0.05,0.04,0.06,0.04,,,,,,,,
"""13/3/2""",0.82,,0.80,0.74,0.82,0.77,,,,,,,,
"""13/3/1""",0.79,,0.80,0.74,0.79,0.81,,,,,,,,
"""41/4/2""",0.27,,0.31,0.60,0.27,0.37,,,,,,,,
"""15/2/1""",0.30,,0.34,0.25,0.30,0.39,,,,,,,,
"""15/2/2""",0.37,,0.34,0.26,0.37,0.30,,,,,,,,
"""15/3/1""",0.25,,0.31,0.27,0.25,0.41,,,,,,,,
"""15/3/2""",0.36,,0.41,0.64,0.36,0.49,,,,,,,,
"""9/5/2""",0.93,,0.93,0.93,0.93,0.93,,,,,,,,
"""15/4/2""",0.23,,0.35,0.42,0.23,0.53,,,,,,,,
"""15/4/1""",0.27,,0.30,0.27,0.27,0.33,,,,,,,,
