,itself-1,,inout-1,max-1,oppdir-1,samedir-1,,,lag-1,,inout-1,max-1,oppdir-1,samedir-1
"""22/2/1""",0.46,,0.43,0.36,0.46,0.36,,,,,,,,
"""46/4/2""",0.43,,0.49,0.48,0.43,0.55,,,,,,,,
"""13/4/1""",0.81,,0.70,0.91,0.81,0.54,,,,,,,,
"""13/4/2""",0.58,,0.66,0.78,0.58,0.77,,,,,,,,
"""1/6/1""",0.97,,0.97,0.97,0.97,0.97,,,,,,,,
"""1/6/2""",0.97,,0.97,0.97,0.97,0.97,,,,,,,,
"""13/5/1""",0.17,,0.15,-0.02,0.17,0.12,,,,,,,,
"""1/5/2""",0.97,,0.97,0.97,0.97,0.97,,,,,,,,
"""1/5/1""",0.97,,0.97,0.97,0.97,0.97,,,,,,,,
"""13/5/2""",0.17,,0.12,-0.70,0.17,0.05,,,,,,,,
"""6/1/1""",0.22,,0.29,0.11,0.22,0.38,,,,,,,,
"""5/2/2""",0.71,,0.69,0.57,0.71,0.67,,,,,,,,
"""15/12/1""",0.54,,0.57,0.48,0.54,0.60,,,,,,,,
"""15/12/2""",0.52,,0.52,0.48,0.52,0.51,,,,,,,,
"""6/2/2""",0.07,,0.11,0.11,0.07,0.15,,,,,,,,
"""6/2/1""",0.17,,0.11,0.11,0.17,0.04,,,,,,,,
"""9/1/2""",0.84,,0.83,0.96,0.84,0.82,,,,,,,,
"""35/6/1""",0.55,,0.57,0.51,0.55,0.60,,,,,,,,
"""6/3/2""",0.29,,0.32,0.60,0.29,0.35,,,,,,,,
"""6/3/1""",0.35,,0.33,0.47,0.35,0.30,,,,,,,,
"""36/3/1""",0.17,,0.19,-0.10,0.17,0.22,,,,,,,,
"""36/3/2""",0.30,,0.26,0.14,0.30,0.22,,,,,,,,
"""22/7/2""",0.23,,0.39,0.77,0.23,0.58,,,,,,,,
"""22/7/1""",0.22,,0.25,0.18,0.22,0.29,,,,,,,,
"""6/6/2""",0.34,,0.23,-0.08,0.34,0.07,,,,,,,,
"""38/1/1""",0.34,,0.31,-0.16,0.34,0.26,,,,,,,,
"""38/1/2""",0.29,,0.31,-0.16,0.29,0.32,,,,,,,,
"""15/10/2""",0.29,,0.25,0.14,0.29,0.21,,,,,,,,
"""15/10/1""",0.19,,0.21,0.04,0.19,0.23,,,,,,,,
"""33/5/2""",0.85,,0.84,0.84,0.85,0.82,,,,,,,,
"""8/3/1""",0.13,,0.18,0.34,0.13,0.24,,,,,,,,
"""9/4/2""",0.93,,0.93,0.93,0.93,0.93,,,,,,,,
"""30/21/2""",0.05,,0.08,0.18,0.05,0.13,,,,,,,,
"""35/1/1""",0.07,,0.14,0.28,0.07,0.21,,,,,,,,
"""5/4/2""",0.73,,0.66,0.72,0.73,0.56,,,,,,,,
"""30/21/1""",0.00,,-0.01,-0.10,0.00,-0.03,,,,,,,,
"""6/6/1""",0.39,,0.42,-0.09,0.39,0.46,,,,,,,,
"""5/3/1""",0.67,,0.65,0.71,0.67,0.61,,,,,,,,
"""5/3/2""",0.64,,0.59,0.49,0.64,0.52,,,,,,,,
"""35/1/2""",0.08,,0.12,0.11,0.08,0.18,,,,,,,,
"""9/1/1""",0.89,,0.86,0.98,0.89,0.82,,,,,,,,
"""20/5/2""",0.53,,0.52,0.48,0.53,0.51,,,,,,,,
"""20/5/1""",0.50,,0.52,0.48,0.50,0.53,,,,,,,,
"""30/20/2""",0.03,,0.13,0.40,0.03,0.27,,,,,,,,
"""20/6/2""",0.52,,0.52,0.48,0.52,0.51,,,,,,,,
"""13/6/1""",0.60,,0.47,0.19,0.60,0.32,,,,,,,,
"""36/5/2""",0.24,,0.30,0.41,0.24,0.40,,,,,,,,
"""36/5/1""",0.24,,0.24,0.21,0.24,0.24,,,,,,,,
"""9/8/2""",0.64,,0.66,0.45,0.64,0.68,,,,,,,,
"""9/6/2""",0.93,,0.93,0.93,0.93,0.93,,,,,,,,
"""30/20/1""",0.04,,0.05,0.00,0.04,0.06,,,,,,,,
"""5/5/2""",0.50,,0.47,0.14,0.50,0.43,,,,,,,,
"""5/5/1""",0.52,,0.47,0.14,0.52,0.39,,,,,,,,
"""35/6/2""",0.53,,0.52,0.48,0.53,0.51,,,,,,,,
"""7/7/1""",0.06,,0.17,-0.12,0.06,0.30,,,,,,,,
"""9/8/1""",0.76,,0.66,0.45,0.76,0.50,,,,,,,,
"""9/12/1""",0.34,,0.28,0.18,0.34,0.19,,,,,,,,
"""1/10/2""",0.95,,0.95,0.96,0.95,0.96,,,,,,,,
"""1/10/1""",0.97,,0.96,0.97,0.97,0.94,,,,,,,,
"""15/1/1""",0.25,,0.32,0.25,0.25,0.42,,,,,,,,
"""35/4/2""",0.46,,0.44,0.48,0.46,0.43,,,,,,,,
"""5/6/1""",0.23,,0.30,0.40,0.23,0.39,,,,,,,,
"""8/4/2""",0.22,,0.11,0.31,0.22,0.00,,,,,,,,
"""35/4/1""",0.43,,0.44,0.48,0.43,0.46,,,,,,,,
"""38/4/2""",0.52,,0.49,0.61,0.52,0.46,,,,,,,,
"""7/6/2""",0.13,,0.24,0.44,0.13,0.37,,,,,,,,
"""5/6/2""",0.17,,0.19,0.16,0.17,0.23,,,,,,,,
"""21/5/2""",0.46,,0.44,0.48,0.46,0.43,,,,,,,,
"""45/1/2""",0.41,,0.47,0.52,0.41,0.53,,,,,,,,
"""21/5/1""",0.43,,0.44,0.48,0.43,0.46,,,,,,,,
"""43/1/2""",0.52,,0.55,0.37,0.52,0.59,,,,,,,,
"""21/4/2""",0.29,,0.27,0.10,0.29,0.25,,,,,,,,
"""21/4/1""",0.16,,0.18,0.10,0.16,0.20,,,,,,,,
"""7/12/2""",0.54,,0.36,-0.43,0.54,0.11,,,,,,,,
"""8/3/2""",0.08,,0.12,0.11,0.08,0.18,,,,,,,,
