,ICODUBLI2_TemperatureC,IDUBLINC2_dailyrainMM,IDUBLINC2_TemperatureC,ILEINSTE8_TemperatureC,ILEINSTE8_dailyrainMM,ICODUBLI2_dailyrainMM,_index
1,-0.02706041173623678,-0.008054381058095661,0.01766976588788448,-0.055205444884267846,-0.10058315795702723,0.0006260825640260027,1_13_1
3,-0.13677359402995867,0.14589404504894565,-0.09359983813296062,-0.129709010725478,-0.020982558903373437,0.017096422725562374,1_10_2
6,0.2209230856672321,0.054537486231621524,0.17572248086166753,0.15698066845468467,-0.011734651961705466,0.10316018119860151,1_4_2
8,0.14432982207911302,0.11963687124202553,0.1575358011940055,0.10642131168498609,0.09898512721794281,0.04222506947949823,1_9_1
9,0.033064630393963665,0.13782532476937057,0.0218750695552101,0.028542719179974533,0.08574105507704192,-0.020596395770906092,1_9_2
13,0.17554398261027868,0.05620405233487572,0.21394257039147513,0.15822765825188545,-0.049664701338054264,0.04170500722828266,1_6_1
14,0.12276309323576381,-0.031212458289691984,0.10818564738127887,0.11728880403544005,0.01363305259645443,-0.005423142850502167,1_8_1
18,0.25097985567376546,0.03441232103932777,0.1927744222226717,0.1918511374459696,0.04996036835066098,0.10690160868236408,1_12_2
19,0.4807730515210575,-0.029579430659525292,0.20999293871121397,0.46991915475782353,-0.06097394372525015,0.025550504955996735,1_12_1
20,0.10270507625714932,0.14049655391180418,0.17330867088075255,0.0773994098307993,0.021817041474612865,0.13011342948922905,10_7_2
21,-0.1576455344562881,0.08677961949465031,-0.06686005193130466,-0.18041346482194523,-0.00950209842964095,-0.019563187642678056,10_3_2
23,0.1856519600194063,0.03965828735191686,0.2088856991055596,0.14233822954952288,0.0485875343471329,0.024382060278400154,10_1_1
24,-0.013053397720594247,0.054480285027607385,0.023494906591399006,0.0015990112130571737,0.080787095826507,0.1458442862593847,10_1_2
26,0.0978541274951733,0.1100574985268847,0.14831390467860422,0.11550185844347016,0.18135020046606942,0.07920406046061217,10_2_2
27,-0.05708486048225599,0.03232410799187197,-0.03607830030317274,-0.05082422791350663,0.15312580278507057,0.08293562710841917,10_2_1
28,0.01655665347581592,0.023234113362967185,0.041409761349050715,0.019482310507527148,-0.08470715703608055,-0.02199672516698572,10_6_2
29,0.027666406521312654,0.018546852662109474,0.08396357035098696,0.0074375264492282595,-0.11048530343347067,0.08086539870798846,10_6_1
30,-0.25852547473839477,0.12519652617150914,-0.15715095229764325,-0.2843206544943738,0.036189208336348706,0.049871433709737345,10_5_1
31,0.3174467881404041,0.015402836204811676,0.1743663214987994,0.2764903700953871,0.011952968511977973,0.013913369367381153,10_5_2
32,-0.09388016864696716,0.05173733368282381,-0.05038286974303311,-0.07191228417132794,-0.057241196517865675,0.08641762166890173,10_4_1
34,0.4032702728115367,0.0015459112217710341,0.37925749574129225,0.4147071338635995,-0.06882331663468473,0.04153337586868716,11_5_2
36,-0.10027269925826117,0.09088932006488909,-0.02316872568960068,-0.09189618280219226,0.06895407545782425,0.031681977815002586,11_2_1
38,-0.16125952628716503,0.13140149584814856,-0.11209181266845844,-0.19375591065251488,0.11918892455155031,0.012883074812328752,11_3_1
39,0.18395562111800326,0.0811666410530835,-0.1423460282506761,0.15837849467940987,0.0647860589894569,-0.013931347287502435,11_1_1
40,-0.14386768636823077,0.036295472923309424,-0.06605832069899333,-0.16822868081156583,-0.026168127607513633,0.0555173677727688,11_1_2
41,0.07671201677957529,-0.06372961135247972,0.041504740438540806,0.08385928302789662,-0.008953870003227343,-0.017334279319879065,11_4_1
44,-0.281432694664315,-0.1256027215245008,-0.21023621643375762,-0.27646573723596496,-0.15548992967454134,-0.14987760727367047,12_2_1
45,0.2727560331568418,-0.023480589872894118,0.14873250358970416,0.2950464115046606,-0.05469091410359872,0.1251584902022947,12_1_2
46,0.2525532957334284,0.2888522201407193,0.3235698354569796,0.22402153206101874,0.06077194617584244,0.15613648865098753,12_1_1
47,-0.27275603315684205,0.023480589872894125,-0.14873250358970427,-0.2950464115046607,0.05469091410359872,-0.12515849020229486,12_3_1
48,-0.16676478147595628,0.07725201895525531,-0.11690477149292854,-0.16359774403849345,-0.11673797304068324,-0.09832672558478399,12_3_2
49,-0.2920183207806081,0.03062094322013902,-0.12567502945364306,-0.2971502459131825,0.044130410367366056,-0.12523934784832283,12_2_2
50,0.2370481710579766,0.223487273286621,0.2683010836688642,0.21432117273539494,0.103200835233071,0.1862643292830133,13_2_1
51,0.3320367319923898,0.07294502663776839,0.2782217024139133,0.3247963612287403,0.07916747535723354,0.12487678185752073,13_2_2
52,0.15571746510313556,0.3148257364112782,0.2010704337072471,0.13227742975452755,0.20382125920089705,0.23898313216411707,13_3_1
53,-0.3368795037940595,0.012218177153979612,-0.26712575156891766,-0.37299183351513304,0.004940032499741614,-0.02057482718710818,13_4_2
54,-0.27988372477132545,-0.07216716309329496,-0.23654749641247114,-0.3072778925193802,-0.20642359251752002,-0.06664113473369955,13_4_1
55,-0.35734721275970904,-0.07992236831668893,-0.3034566042651882,-0.3752036427733527,-0.06429265287044711,-0.13125454208391987,13_5_2
56,-0.39895437327135236,-0.042492115750804076,-0.358853341033399,-0.39526396736333447,0.006568645874396765,-0.09323833764374181,13_5_1
