,ICODUBLI2_dailyrainMM,IDUBLINC2_dailyrainMM,ILEINSTE8_dailyrainMM,_index
50,0.186264329,0.223487273,0.103200835,13/2/1
52,0.238983132,0.314825736,0.203821259,13/3/1
54,-0.066641135,-0.072167163,-0.206423593,13/4/1
56,-0.093238338,-0.042492116,0.006568646,13/5/1
57,-0.13143051,-0.065184783,-0.044334879,13/6/1
60,0.146067525,0.084098581,0.064813966,13/1/1
