,inout-1,itself-1,max-1,oppdir-1,samedir-1
"""1/13/1""",0.9278412826745605,0.9012891184345522,0.982978021449852,0.9012891184345522,0.9809456111545768
"""1/13/2""",0.7581220597150039,0.7681651572244632,0.704181163167115,0.7681651572244632,0.7380358646960854
